Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.740e-02x^5 + -1.973e+00x^4 + 2.689e+01x^3 + -1.823e+02x^2 + 6.174e+02x^1 + -8.461e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 8.056235e-15
2.257020e+04, 3.586246e-14
2.535364e+04, 1.388837e-13
2.848036e+04, 4.744836e-13
3.199267e+04, 1.449113e-12
3.593814e+04, 4.001874e-12
4.037017e+04, 1.009733e-11
4.534879e+04, 2.346120e-11
5.094138e+04, 5.058472e-11
5.722368e+04, 1.017995e-10
6.428073e+04, 1.921058e-10
7.220809e+04, 3.411404e-10
8.111308e+04, 6.166271e-10
9.111628e+04, 1.019640e-09
1.023531e+05, 1.621150e-09
1.149757e+05, 2.487644e-09
1.291550e+05, 3.696337e-09
1.450829e+05, 5.334142e-09
1.629751e+05, 7.495880e-09
1.830738e+05, 1.028219e-08
2.056512e+05, 1.379645e-08
2.310130e+05, 1.814072e-08
2.595024e+05, 2.340828e-08
2.915053e+05, 2.967491e-08
3.274549e+05, 3.703689e-08
3.678380e+05, 4.600383e-08
4.132012e+05, 5.609789e-08
4.641589e+05, 6.766549e-08
5.214008e+05, 8.084082e-08
5.857021e+05, 9.578967e-08
6.579332e+05, 1.127215e-07
7.390722e+05, 1.319231e-07
8.302176e+05, 1.537556e-07
9.326033e+05, 1.786781e-07
1.047616e+06, 2.072310e-07
1.176812e+06, 2.399895e-07
1.321941e+06, 2.779772e-07
1.484968e+06, 3.247588e-07
1.668101e+06, 3.777373e-07
1.873817e+06, 4.395941e-07
2.104904e+06, 5.113215e-07
2.364489e+06, 5.935772e-07
2.656088e+06, 6.864467e-07
2.983647e+06, 7.892569e-07
3.351603e+06, 9.003800e-07
